employee_id,first_name,last_name,email,phone,pic_path,employee_role,position,department
69522675,Hux,Unknown,hux.unknown@scanner.com,+1-555-785-3466,/images/69522675.jpg,Support Specialist,Manager,Rebel Relations
63116406,Poe,Dameron,poe.dameron@scanner.com,+1-555-538-7986,/images/63116406.jpg,Senior Officer,Technician,Security & Strategy
11597042,Rex,Unknown,rex.unknown@scanner.com,+1-555-630-7423,/images/11597042.jpg,Associate,Technician,Rebel Relations
58677831,Echo,Unknown,echo.unknown@scanner.com,+1-555-652-3218,/images/58677831.jpg,Project Lead,Manager,Security & Strategy
19991323,Fives,Unknown,fives.unknown@scanner.com,+1-555-557-3056,/images/19991323.jpg,Project Lead,Manager,Security & Strategy
25443363,Echo,Unknown,echo.unknown@scanner.com,+1-555-562-1413,/images/25443363.jpg,Project Lead,Technician,Security & Strategy
18876994,Mace,Windu,mace.windu@scanner.com,+1-555-263-8348,/images/18876994.jpg,Senior Officer,Analyst,Rebel Relations
67914148,Luke,Skywalker,luke.skywalker@scanner.com,+1-555-112-8785,/images/67914148.jpg,Senior Officer,Coordinator,Rebel Relations
16546959,Kylo,Ren,kylo.ren@scanner.com,+1-555-936-9105,/images/16546959.jpg,Senior Officer,Analyst,Security & Strategy
46314080,Cassian,Andor,cassian.andor@scanner.com,+1-555-384-7505,/images/46314080.jpg,Associate,Technician,Security & Strategy
12168691,Cassian,Andor,cassian.andor@scanner.com,+1-555-587-4031,/images/12168691.jpg,Associate,Analyst,Security & Strategy
50563160,Kylo,Ren,kylo.ren@scanner.com,+1-555-910-8241,/images/50563160.jpg,Associate,Analyst,Rebel Relations
93382640,Chirrut,Îmwe,chirrut.îmwe@scanner.com,+1-555-262-1372,/images/93382640.jpg,Project Lead,Coordinator,Galactic Operations
65637642,Cody,Unknown,cody.unknown@scanner.com,+1-555-388-7300,/images/65637642.jpg,Associate,Manager,Rebel Relations
69280947,Kit,Fisto,kit.fisto@scanner.com,+1-555-105-5577,/images/69280947.jpg,Project Lead,Manager,Droid Services
51296666,Ventress,Unknown,ventress.unknown@scanner.com,+1-555-261-3964,/images/51296666.jpg,Project Lead,Coordinator,Rebel Relations
83081968,Rex,Unknown,rex.unknown@scanner.com,+1-555-977-7079,/images/83081968.jpg,Associate,Analyst,Rebel Relations
88413613,Chewbacca,Wookiee,chewbacca.wookiee@scanner.com,+1-555-858-6577,/images/88413613.jpg,Support Specialist,Analyst,Security & Strategy
79522706,Sabine,Wren,sabine.wren@scanner.com,+1-555-706-4952,/images/79522706.jpg,Project Lead,Analyst,Rebel Relations
17366290,Wedge,Antilles,wedge.antilles@scanner.com,+1-555-135-9788,/images/17366290.jpg,Senior Officer,Technician,Rebel Relations
